Indo,Jepang,Kanji,Keterangan
Lusa,Asatte,明後日 (あさって),Kata Benda
Fajar,Yoake,夜明け (よあけ),Kata Benda
Pagi,Asa,朝 (あさ),Kata Benda
Tadi Pagi,Kesa,今朝 (けさ),Kata Benda
Siang,Hiru,昼 (ひる),Kata Benda
Tengah Hari,Shougo,正午 (しょうご),Kata Benda
Sore,Yuugata,夕方 (ゆうがた),Kata Benda
Senja,Yuugure,夕暮れ (ゆうぐれ),Kata Benda
Malam,Yoru,夜 (よる),Kata Benda
Tengah Malam,Mayonaka,真夜中 (まよなか),Kata Benda
Tadi Malam,Yuube,夕べ,Kata Benda
Masa Depan,Mirai,未来 (みらい),Kata Benda
Sekarang,Ima,今 (いま),Kata Benda
Masa Lalu,Kako,過去 (かこ),Kata Benda
Jam,Jikan,時間 (じかん),Kata Benda
Menit,Fun,分 (ふん）,Kata Benda
Detik,Byou,秒 (びょう),Kata Benda
Malam Ini,Konban,今晩 (こんばん）,Kata Benda
Besok,Ashita,明日 (あした),Kata Benda
Setiap Hari,Mainichi,毎日 (まいにち),Kata Benda
Setiap Pagi,Maiasa,毎朝 (まいあさ),Kata Benda
Setiap Malam,Maiban,毎晩 (まいばん),Kata Benda
Minggu Ini,Konshuu,今週 (こんしゅう),Kata Benda
Minggu Lalu,Senshuu,先週 (せんしゅう),Kata Benda
Minggu Depan,Raishuu,来週 (らいしゅう),Kata Benda
Setiap Minggu,Maishuu,まいしゅう ,Kata Benda
Bulan ini,Kongetsu,こんげつ ,Kata Benda
Bulan Lalu,Sengetsu,せんげつ ,Kata Benda
Bulan Depan,Raigetsu,らいげつ ,Kata Benda
Setiap Bulan,Maitsuki,まいつき ,Kata Benda
Tahun Ini,Kotoshi,ことし ,Kata Benda
Tahun Lalu,Kyounen,きょねん,Kata Benda
Tahun Depan,Rainen,らいねん ,Kata Benda
Setiap Tahun,Maitoshi,まいとし ,Kata Benda
Minuman,Nomimono,のみもの ,Kata Benda
Air Putih,Mizu,水 (みず),Kata Benda
Air Panas,Oyu,おゆ ,Kata Benda
Teh Jepang,Ocha,おちゃ ,Kata Benda
Teh Hitam,Koocha,こうちゃ ,Kata Benda
Kopi,Koohi,コーヒー ,Kata Benda
Susu,Miruku,ミルク ,Kata Benda
Susu Sapi,Gyuunyuu,ぎゅうにゅう ,Kata Benda
Jus,Juusu,ジュース ,Kata Benda
Jus Jeruk,Orenji Juusu,オレンジジュース ,Kata Benda
Minuman Beralkohol,Osake,おさけ ,Kata Benda
Minuman Anggur,Wain,ワイン ,Kata Benda
Es Krim,Aisu Kurimu,アイスクリーム ,Kata Benda
Bir,Biiru,ビール ,Kata Benda
Wiski,Uisukii,ウイスキー ,Kata Benda
Arak Jepang,Nihonshu,にほんしゅ ,Kata Benda
Kola,Koora,コーラ ,Kata Benda
Ramune,Ramune,ラムネ,Kata Benda
Tubuh,Karada,体 (からだ),Kata Benda
Muka,Kao,顔 (かお),Kata Benda
Dahi,Hitai,額 (ひたい),Kata Benda
Mata,Me,目 (め),Kata Benda
Hidung,Hana,鼻 (はな),Kata Benda
Telinga,Mimi,耳 (みみ),Kata Benda
Pipi,Hoho,頬 (ほほ),Kata Benda
Dagu,Ago,顎 (あご),Kata Benda
Mulut,Kuchi,口 (くち),Kata Benda
Bibir,Kuchibiru,唇 (くちびる),Kata Benda
Lidah,Shita,舌 (した),Kata Benda
Gigi,Ha,歯 (は),Kata Benda
Gigi Geraham Belakang,Maeba,前歯 (まえば),Kata Benda
Gigi Seri,Okuba,奥歯 (おくば),Kata Benda
Gigi Taring,Yaeba,八重歯 (やえば),Kata Benda
Gusi,Haguki,歯茎 (はぐき),Kata Benda
Gigi Bungsu,Oyashirazu,親知らず (おやしらず),Kata Benda
Gigi Taring,Kenshi,犬歯 (けんし),Kata Benda
Kepala,Atama,頭 (あたま),Kata Benda
Tengkuk Kepala,Unaji,うなじ,Kata Benda
Leher,Kubi,首 (くび),Kata Benda
Jakun,Nodobotoke,喉仏 (のどぼとけ),Kata Benda
Bahu,Kata,肩 (かた),Kata Benda
Lengan,Ude,腕 (うで),Kata Benda
Siku,Hiji,肘 (ひじ),Kata Benda
Tangan,Te,手 (て),Kata Benda
Pergelangan Tangan,Tekubi,手首 (てくび),Kata Benda
Ketiak,Waki,脇 (わき),Kata Benda
Dada,Mune,胸 (むね),Kata Benda
Buah Dada,Chibusa,乳房 (ちぶさ),Kata Benda
Perut,Hara,腹 (はら),Kata Benda
Pusar,Heso,臍 (へそ),Kata Benda
Punggung,Senaka,背中 (せなか),Kata Benda
Pinggang,Koshi,腰 (こし),Kata Benda
Pantat,Oshiri,お尻 (おしり),Kata Benda
Kaki,Ashi,足 (あし),Kata Benda
Paha,Futomomo,太もも (ふたもも),Kata Benda
Lutut,Hiza,膝 (ほざ),Kata Benda
Betis,Fukurahagi,脹脛 (ふくらはぎ),Kata Benda
Jari,Yubi,指 (ゆび),Kata Benda
Ibu Jari,Oya-yubi,親指 (おやゆび),Kata Benda
Jari Telunjuk,Hitosashi-yubi,人差し指 (ひとさしゆび),Kata Benda
Jari Tengah,Naka-yubi,中指 (なかゆび),Kata Benda
Jari Manis,Kusuri-yubi,薬指 (くすりゆび),Kata Benda
Jari Kelingking,Ko-yubi,小指 (こゆび),Kata Benda
Punggung Tangan,Tenokou,手の甲 (てのこう),Kata Benda
Telapak Tangan,Tenohira,手のひら (てのひら),Kata Benda
Pergelangan Kaki,Ashikubi,足首 (あしくび),Kata Benda
Mata Kaki,Kurubushi,踝 (くるぶし),Kata Benda
Jari Kaki,Ashiyubi,足指 (あしゆび),Kata Benda
Ujung Jari Kaki,Tsumasaki,つま先 (つまさき),Kata Benda
Tumit Kaki,Kakato,踵 (かかと),Kata Benda
Telapak Kaki,Ashinoura,足の裏 (あしのうら),Kata Benda
Rambut,Kami,髪 (かみ),Kata Benda
Alis Mata,Mayuge,眉毛 (まゆげ),Kata Benda
Bulu Mata,Matsuge,まつ毛 (まつげ),Kata Benda
Kumis,Kuchihige,口髭 (くちひげ),Kata Benda
Jenggot,Agohige,顎髭 (あごひげ),Kata Benda
Bulu Hidung,Hanage,鼻毛 (はなげ),Kata Benda
Bulu Ketiak,Wakige,腋毛 (わきげ),Kata Benda
Bulu Dada,Munage,胸毛 (むなげ),Kata Benda
Otak,Nou,脳 (のう),Kata Benda
Kerongkongan,Shokudou,食道 (しょくどう),Kata Benda
Tenggorokan,Nodo,喉 (のど),Kata Benda
Trakea,Kikan,気管 (きかん),Kata Benda
Paru-paru,Hai,肺 (はい),Kata Benda
Jantung,Shinzou,心臓 (しんぞう),Kata Benda
Lambung,I,胃 (い),Kata Benda
Usus,Chou,腸 (ちょう),Kata Benda
Usus Besar,Daichou,大腸 (だいちょう),Kata Benda
Usus Halus,Shouchou,小腸 (しょうちょう),Kata Benda
Usus Dua Belas Jari,Juunishichou,十二指腸 (じゅうにしちょう),Kata Benda
Anus,Koumon,校門 (こうもん),Kata Benda
Rahim,Shikyuu,子宮 (しきゅう),Kata Benda
Hati,Kanzou,肝臓 (かんぞう),Kata Benda
Ginjal,Jinzou,腎臓 (じんぞう),Kata Benda
Limpa,Hizou,脾臓 (ひぞう),Kata Benda
Tulang,Hone,骨 (ほね),Kata Benda
Tengkorak,Zugaikotsu,頭蓋骨 (zうがいこつ),Kata Benda
Otot,Kinniku,筋肉 (きんいく),Kata Benda
Darah,Ketsueki,血液 (けつえき),Kata Benda
Pembuluh Darah,Kekkan,血管 (けっかん),Kata Benda
Pembuluh Nadi,Doumyaku,動脈 (どうみゃく),Kata Benda
Pembuluh Darah Vena,Joumyaku,静脈 (じょうみゃく),Kata Benda
Penis,Penisu,ペニス,Kata Benda
Vagina,Chitsu,膣 (ちつ),Kata Benda
Sperma,Seishi,精子 (せいし),Kata Benda
Sel Telur,Ranshi,卵子 (らんし),Kata Benda
Kulit,Hifu,皮膚 (ひふ),Kata Benda
Kuku,Tsume,爪 (つめ),Kata Benda
Kandung Kemih,Boukou,膀胱 (ぼうこう),Kata Benda
Air Mata,Namida,涙 (なみだ),Kata Benda
Air Liur,Tsuba,唾 (つば),Kata Benda
Nafas,Iki,息 (いき),Kata Benda
Pekerjaan,Shigoto,しごと　 ,Kata Benda
Profesi,Shokugyou,しょくぎょう,Kata Benda
Teknisi,Enjinia,エンジニア ,Kata Benda
Pegawai Negeri,Koumuin,こうむいん ,Kata Benda
Perawat,Kangoshi,かんごし ,Kata Benda
Perawat Lansia,Kaigoshi,がくせい ,Kata Benda
Pelajar,Gakusei,がくせい ,Kata Benda
Guru,Sensei,せんせい,Kata Benda
Guru (Profesi),Kyoushi,きょうし ,Kata Benda
Dosen,Koushi,こうし,Kata Benda
Profesor,Kyouju,きょうじゅ,Kata Benda
Peneliti,Kenkyuusha,けんきゅうしゃ,Kata Benda
Ilmuwan,Gakusha,がくしゃ,Kata Benda
Ilmuwan Sains,Kagakusha,かがくしゃ,Kata Benda
Pengusaha,Keieisha,けいえいしゃ,Kata Benda
Kepala Kantor,Shachou,しゃちょう,Kata Benda
Kepala Bagian,Buchou,ぶちょう,Kata Benda
Kepala Seksi,Kachou,かちょう,Kata Benda
Akuntan,Kaikeishi,かいけいし,Kata Benda
Konsultan,Konsarutanto,コンサルタント,Kata Benda
Sekretaris,Hisho,ひしょ,Kata Benda
Dokter,Isha,いしゃ,Kata Benda
Dokter Bersertifikat,Ishi,いし,Kata Benda
Dokter Bedah,Gekai,げかい,Kata Benda
Dokter Penyakit Dalam,Naikai,ないかい,Kata Benda
Dokter Gigi,Sikai,しかい,Kata Benda
Dokter Mata,Gankai,がんかい,Kata Benda
Dokter Hewan,Juui,じゅうい,Kata Benda
Apoteker,Yakuzaishi,やくざいし,Kata Benda
Karyawan,Shain,しゃいん,Kata Benda
Karyawan Kantor,Kaishain,かいしゃいん ,Kata Benda
Karyawan Kontrak,Keikyakushain,けえやくしゃいん,Kata Benda
Karyawan Tetap,Seishain,せいしゃいん,Kata Benda
Pekerja Paruh Waktu,Arubaito,アルバイト,Kata Benda
Pengangguran,Mushoku,むしょく,Kata Benda
Wiraswasta,Jieigyou,じえいぎょう ,Kata Benda
Ibu Rumah Tangga,Shufu,しゅふ ,Kata Benda
Petani,Nooka,のおか,Kata Benda
Jurnalis,Jaanarisuto,じゃアナリスト,Kata Benda
Wartawan,Kisha,きしゃ,Kata Benda
Wartawan Koran,Shinbunkisha,しんぶんきしゃ,Kata Benda
Editor,Henshuusha,へんしゅうしゃ,Kata Benda
Fotografer,Shashinka,しゃしんか,Kata Benda
Reporter,Repoota,レポーオター,Kata Benda
Penyiar,Anaunsaa,アナウンサー,Kata Benda
Aktor,Danyuu,だにゅう,Kata Benda
Aktris,Joyuu,じょゆう,Kata Benda
Penyanyi,Kashu,かしゅ,Kata Benda
Artis,Aatisuto,アーティスト,Kata Benda
Idola,Aidoru,アイドル,Kata Benda
Programmer,Purogurama,プログラマ,Kata Benda
Perancang Web,Webudezaina,ウェブデザイナー,Kata Benda
Komikus,Mangaka,まんがか,Kata Benda
Animator,Animeetaa,アニメーター,Kata Benda
Ilustrator,Irasutoreetaa,イラストレーター,Kata Benda
Desainer,Dezainaa,デザイナー,Kata Benda
Penata Rambut,Biyoushi,びようし,Kata Benda
Perancang Busana,Fasshondezainaa,ファッションデザイナー,Kata Benda
Arsitek,Kenchikuka,けんちくか,Kata Benda
Pelukis,Gaka,がか,Kata Benda
Pengarang,Sakka,さっか,Kata Benda
Novelis,Shousetsuka,しょうせつか,Kata Benda
Musisi,Ongakuka,おんがくか,Kata Benda
Komponis,Sakkyouka,さっきょうか,Kata Benda
Presiden,Daitouryou,だいとうりょう,Kata Benda
Perdana Menteri,Shushou,しゅしょう,Kata Benda
Menteri,Daijin,だいじん,Kata Benda
Anggota Parlemen,Kokkaigiin,こっかいぎいん,Kata Benda
Anggota Parlemen Daerah,Shikaigiin,しかいぎいん,Kata Benda
Gubernur,Chiji,ちじ,Kata Benda
Walikota,Shichou,しちょう,Kata Benda
Politikus,Seijika,せいじか,Kata Benda
Birokrat,Kanryou,かんりょう,Kata Benda
Duta Besar,Taishi,たいし,Kata Benda
Diploma,Gaikoukan,がいこうかん,Kata Benda
Tentara,Gunjin,ぐんじん　,Kata Benda
Pemadam Kebakaran,Shouboushi,しょうぼうし,Kata Benda
Polisi,Keesatsukan,けいさつかん,Kata Benda
Hakim,Saibankan,さいんばんかん,Kata Benda
Jaksa,Kenji,けんじ,Kata Benda
Pengacara,Bengoshi,べんごし,Kata Benda
Dapur,Daidokoro,だいどころ,Kata Benda
Penggorengan,Furaipan,フライパン,Kata Benda
Panci,Nabe,なべ,Kata Benda
Ketel,Yakan,やかん,Kata Benda
Pisau,Naifu,ナイフ,Kata Benda
Talenan,Manaita,まないた,Kata Benda
Centong Sayur,Otama,おたま,Kata Benda
Bakul,Zaru,ざる,Kata Benda
Baki,Obon,おぼん,Kata Benda
Piring,Sara,さら,Kata Benda
Mangkok,Chawan,ちゃわん,Kata Benda
Cangkir,Kappu,カップ ,Kata Benda
Gelas,Gurasu,グラス,Kata Benda
Sumpit,Hashi,はし,Kata Benda
Garpu,Fooku,フォーク,Kata Benda
Pisau Dapur,Houchou,ほうちょう,Kata Benda
Sendok,Supuun,スプーン,Kata Benda
Sedotan,Sutoroo,ストロー,Kata Benda
Kamar Mandi,Furo,風呂 (ふろ),Kata Benda
Bak Mandi,Basutabu,バスタブ,Kata Benda
Shower,Shawaa,シャワー,Kata Benda
Sampo,Shanpuu,シャンプー,Kata Benda
Wastafel,Senmendai,せんめんだい,Kata Benda
Sabun,Sekken,せっけん,Kata Benda
Toilet,Toire,トイレ,Kata Benda
Olahraga,Supootsu,スポーツ ,Kata Benda
Bola,Booru,ボール,Kata Benda
Bulutangkis,Badominton,バドミントン,Kata Benda
Sepak Bola,Sakkaa,サッカー,Kata Benda
Bola Basket,Basuketto-booru,バスケットボール,Kata Benda
Bola Voli,Baree-booru,バレーボール,Kata Benda
Golf,Gorufu,ゴルフ,Kata Benda
Tenis,Tenisu,テニス,Kata Benda
Tenis Meja,Takkyuu,たっきゅう,Kata Benda
Baseball,Yakyuu,やきゅう,Kata Benda
Silat,Shiratto,シラット,Kata Benda
Karate,Karate,からて,Kata Benda
Judo,Juudou,じゅうどう,Kata Benda
Sumo,Sumoo,すもう,Kata Benda
Kendo,Kendoo,けんどう,Kata Benda
Gulat,Resuringu,レスリング,Kata Benda
Tinju,Bokushingu,ボクシング,Kata Benda
Panahan,Aacherii,アーチェリー,Kata Benda
Atletik,Rikujou,りくじょう,Kata Benda
Maraton,Marason,マラソン,Kata Benda
Senam,Taisou,たいそう,Kata Benda
Gym,Jimu,ジム,Kata Benda
Renang,Suiei,すいえい,Kata Benda
Selancar,Saafin,サーフィン,Kata Benda
Bowling,Bouringu,ボウリング,Kata Benda
Jogging,Jogingu,ジョギング,Kata Benda
Ski,Sukii,スキー,Kata Benda
Skating Es,Sukeeto,スケート,Kata Benda
Enak,Oishii,おいしい,Kata Benda
Tidak Enak,Mazui,まずい,Kata Benda
Mahal,Takai,高い (たかい) ,Kata Benda
Murah,Yasui,安い (やすい) ,Kata Benda
Cepat,Hayai,早い (はやい) ,Kata Benda
Lambat,Osoi,遅い (おそい) ,Kata Benda
Manis,Amai,甘い (あまい) ,Kata Benda
Pedas,Karai,辛い (からい) ,Kata Benda
Asin,Shiokarai,塩辛い (しおからい) ,Kata Benda
Asam,Suppai,すっぱい,Kata Benda
Pahit,Nigai,苦い (にがい) ,Kata Benda
Panas,Atsui,暑い (あつい),Kata Benda
"Hangat (Suhu, Cuaca)",Atatakai,暖かい (あたたかい),Kata Benda
Hangat (Benda),Atatakai,温かい (あたたかい),Kata Benda
Dingin (Benda),Tsumetai,冷たい (つめたい),Kata Benda
"Dingin (Suhu, Cuaca)",Samui,寒い (さむい),Kata Benda
Sejuk,Suzushii,涼しい (すずしい) ,Kata Benda
Lembab,Mushiatsui,蒸し暑い (むしあつい),Kata Benda
Terang,Akarui,明るい (あかるい) ,Kata Benda
Gelap,Kurai,暗い (くらい) ,Kata Benda
Baru,Atarashii,新しい (あたらしい) ,Kata Benda
Lama,Furui,古い (ふるい) ,Kata Benda
Besar,Ookii,大きい (おおきい) ,Kata Benda
Kecil,Chiisai,小さい (ちいさい) ,Kata Benda
Bersih,Kirei,きれい ,Kata Benda
Kotor,Kitanai,汚い (きたない) ,Kata Benda
Kuat,Tsuyoi,強い (つよい) ,Kata Benda
Lemah,Yowai,弱い (よわい) ,Kata Benda
Tinggi,Takai,高い (たかい) ,Kata Benda
Rendah,Hikui,低い (ひくい) ,Kata Benda
Jauh,Tooi,遠い (とおい) ,Kata Benda
Dekat,Chikai,近い (ちかい) ,Kata Benda
Suka,Suki,好き (すき) ,Kata Benda
Panjang,Nagai,長い (ながい) ,Kata Benda
Pendek,Mijikai,短い (みじかい) ,Kata Benda
Tebal,Atsui,厚い (あつい) ,Kata Benda
Tipis,Usui,薄い (うすい) ,Kata Benda
Berat,Omoi,重い (おもい) ,Kata Benda
Ringan,Karui,軽い (かるい) ,Kata Benda
Menarik,Omoshiroi,面白い (おもしろい) ,Kata Benda
Membosankan,Tsumaranai,つまらない ,Kata Benda
Senang,Ureshii,うれしい ,Kata Benda
Kesepian,Sabishii,寂しい (さびしい) ,Kata Benda
Takut,Kowai,怖い (こわい) ,Kata Benda
Sedih,Kanashii,悲しい (かなしい) ,Kata Benda
Malu,Hazukashii,恥かしい (はずかしい) ,Kata Benda
Iri Hati,Urayamashii,羨ましい (うらやましい) ,Kata Benda
Ngantuk,Nemui,眠い (ねむい) ,Kata Benda
Khawatir,Shinpai,心配 (しんぱい) ,Kata Benda
Cemas,Fuan,不安 (ふあん) ,Kata Benda
Benci,Kirai,嫌い (きらい),Kata Benda
Suka Sekali,Daisuki,大好き (だいすき) ,Kata Benda
Benci Sekali,Daikirai,大嫌い (だいきらい) ,Kata Benda
Tidak Apa-apa,Daijoubu,大丈夫 (だいじょうぶ) ,Kata Benda
Tidak Boleh,Dame,駄目 (だめ) ,Kata Benda
Jangan,Ikenai,いけない,Kata Benda
Imut,Kawaii,可愛い (かわいい),Kata Benda
Detail,Kuwashii,詳しい (くわしい),Kata Benda
Sakit,Itai,痛い (いたい) ,Kata Benda
Cerewet,Urusai,うるさい ,Kata Benda
Bulat,Marui,丸い (まるい),Kata Benda
Banyak,Ooi,多い (おおい),Kata Benda
Sedikit,Sukunai,少ない (すくない),Kata Benda
Tajam ,Surudoi,鋭い (するどい),Kata Benda
Benar,Tadashii,正しい (ただしい) ,Kata Benda
Hebat,Sugoi,すごい ,Kata Benda
Jelek,Warui,悪い (わるい) ,Kata Benda
Kejam,Hidoi,ひどい (ひどい) ,Kata Benda
Langka,Mezurashii,珍しい (めずらしい) ,Kata Benda
Baik Hati,Yasashii,優しい (やさしい) ,Kata Benda
Mudah,Yasashii,易しい (やさしい) ,Kata Benda
Sulit,Muzukashii,難しい (むずかしい) ,Kata Benda
Berbahaya,Abunai,危ない (あぶない) ,Kata Benda
Aman,Anzen,安全(あんぜん) ,Kata Benda
Penting,Daijin,大事 (だいじ) ,Kata Benda
Penting,Taisestsu,大切 (たいせつ) ,Kata Benda
Sia-sia,Muda,無駄 (むだ) ,Kata Benda
Mendadak,Kyuu,急 (きゅう),Kata Benda
Tampan,Hansamu,ハンサム ,Kata Benda
Keras Kepala,Ganko,頑固 (がんこ) ,Kata Benda
Penurut,Sunao,素直 (すなお),Kata Benda
Egois,Wagamama,わがまま ,Kata Benda
Menyayangkan,Zannen,残念 (ざんねん),Kata Benda
Bahagia,Shiawase,幸せ (しあわせ) ,Kata Benda
Praktis,Benri,便利 (べんり) ,Kata Benda
Tidak Praktik,Fuben,不便 (ふべん) ,Kata Benda
Aneh,Hen,変 (へん) ,Kata Benda
Rumit,Fukuzatsu,複雑 (ふくざつ) ,Kata Benda
Mudah,Kantan,簡単 (かんたん) ,Kata Benda
Tegas,Kibishii,厳しい (きびしい) ,Kata Benda
Rajin,Majime,真面目 (まじめ) ,Kata Benda
Tidak Rajin,Fumajime,不真面目 (ふまじめ) ,Kata Benda
Mengganggu,Jama,邪魔 (じゃま) ,Kata Benda
Ajaib,Fushigi,不思議(ふしぎ) ,Kata Benda
Sama,Onaji,同じ(おなじ) ,Kata Benda
Bertemu,Au,合う (あう),Kata Benda
Mencuci,Arau,洗う (あらう),Kata Benda
Berkata,Iu,言う (いう),Kata Benda
Menyanyi,Utau,歌う (うたう),Kata Benda
Membeli,Kau,買う (かう),Kata Benda
Mengisap,Suu,吸う (すう),Kata Benda
Berbeda,Chigau,違う (ちがう),Kata Benda
Memakai,Tsukau,使う (つかう),Kata Benda
Mempelajari,Narau,習う (ならう),Kata Benda
Makan,Taberu,食べる (たべる),Kata Benda
Minum,Nomu,飲む (わらう),Kata Benda
Melihat,Miru,見る (みる),Kata Benda
Berbicara,Hanasu,話す (はなす),Kata Benda
Menulis,Kaku,書く (かく),Kata Benda
Berenang,Oyogu,泳ぐ (およぐ),Kata Benda
Mencintai,Aisuru,愛する (あいする),Kata Benda
Menjadi,Naru,成る (なる),Kata Benda
Menekan,Osu,押す (おす),Kata Benda
Tertawa,Warau,笑う (わらう),Kata Benda
Bingung,Mayou,迷う (まよう) ,Kata Benda
Berdiri,Tatsu,立つ (たつ) ,Kata Benda
Menunggu,Matsu,待つ (まつ) ,Kata Benda
Berlari,Hashiru,走る (はしる),Kata Benda
Memerlukan,Kakaru,掛かる (かかる) ,Kata Benda
Naik (Kendaraan),Noru,乗る (のる) ,Kata Benda
Naik (Tangga),Agaru,上がる (あがる) ,Kata Benda
Melewati,Tooru,通る (とおる) ,Kata Benda
Mendaki,Noboru,登る (のぼる),Kata Benda
Pulang,Kaeru,帰る (かえる) ,Kata Benda
Tinggal,Sumu,住む (すむ) ,Kata Benda
Mati,Shinu,死ぬ (しぬ),Kata Benda
Membaca,Yomu,読む (よむ) ,Kata Benda
Istirahat,Yasumu,休む (やすむ) ,Kata Benda
Bermain,Asobu,遊ぶ (あそぶ)  ,Kata Benda
Bekerja,Hataraku,働く (はたらく) ,Kata Benda
Pergi,Iku,行く (いく) ,Kata Benda
Menarik,Hiku,引く (ひく) ,Kata Benda
Berjalan,Aruku,歩く (あるく)  ,Kata Benda
Bergegas,Isogu,急ぐ (いそぐ) ,Kata Benda
Mengembalikan,Kaesu,返す (かえす) ,Kata Benda
Mengeluarkan,Dasu,出す (だす) ,Kata Benda
Menyerahkan,Watasu,渡す (わたす)  ,Kata Benda
Memaksa,Shiiru,強いる (しいる),Kata Benda
Memikirkan,Anjiru,案じる (あんじる),Kata Benda
Menanam,Ueru,植える (うえる) ,Kata Benda
Mengajar,Oshieru,教える (おしえる) ,Kata Benda
Mengubah,Kaeru,変える (かえる) ,Kata Benda
Menjawab,Kotaeru,答える (こたえる) ,Kata Benda
Mengetahui,Shiru,知る (しる)  ,Kata Benda
Bertanding,Shiaisuru,試合する (しあいする),Kata Benda
Melafalkan,Hatsuonsuru,発音する (はつおんする) ,Kata Benda
Menerangkan,Setsumeisuru,説 明する (せつめいする),Kata Benda
Bangun,Okiru,起きる (おきる),Kata Benda
Terjadi,Okoru,起こる (おこる),Kata Benda
Tidur,Neru,寝る (ねる) ,Kata Benda
Bodoh (Kasar),Baka,馬鹿 (ばか) ,Kata Benda
Ada (Benda Hidup),Iru,いる ,Kata Benda
Ada (Benda Mati),Aru,有る (ある),Kata Benda
Membuka,Akeru,開ける (あける),Kata Benda
Mendengar,Kiku,聞く (きく),Kata Benda
Membuang,Suteru,捨てる (すてる) ,Kata Benda
Memukul,Utsu,打つ (うつ),Kata Benda
Meminta,Tanomu,頼む (たのむ) ,Kata Benda
Berkenalan,Shiriau,知り合う (しりあう) ,Kata Benda
Menolong,Tetsudau,手伝う (てつだう) ,Kata Benda
Mengajak,Sasou,誘う (さそう) ,Kata Benda
Mencuri,Nusumu,盗む (ぬすむ) ,Kata Benda
Memotong,Kiru,切る (きる) ,Kata Benda
Menendang,Keru,蹴る (ける) ,Kata Benda
Mencubit,Tsuneru,抓る (つねる) ,Kata Benda
Bersaing,Seru,競る (ねる),Kata Benda
Memuji,Omoneru,阿る (おもねる),Kata Benda
Menuangkan,Sosogu,注ぐ (そそぐ) ,Kata Benda
Menambah,Tasu,足す (たす) ,Kata Benda
Tertolong,Tasukaru,助かる (たすかる),Kata Benda
Kehilangan,Ushinau,失う (うしなう),Kata Benda
Membunuh,Korosu,殺す (ころす) ,Kata Benda
Membusuk,Kusaru,腐る (くさる) ,Kata Benda
Tertutup,Shimeru,閉める (しめる)  ,Kata Benda
Membeku,Kooru,‎凍る (こおる),Kata Benda
Mengeringkan,Kawakasu,乾かす (かわかす) ,Kata Benda
Mengulang,Kurikaesu,くり返す (くりかえす) ,Kata Benda
Merusak,Kowasu,壊す (こわす)  ,Kata Benda
Ini,Kore,これ,Kata Benda
Itu (Dekat),Sore,それ,Kata Benda
Itu (Jauh),Are,あれ,Kata Benda
Halo,Moshi-moshi,もしもし,Kata Benda
Selamat Datang,Irasshaimase,いらっしゃいませ,Kata Benda
Selamat Pagi (Formal),Ohayou-gozaimasu,おはようございます,Kata Benda
Selamat Pagi (Informal),Ohayou,おはよう,Kata Benda
Selamat Siang,Konnichiwa,こんいちわ,Kata Benda
Selamat Malam,Konbanwa,こんばんわ,Kata Benda
Selamat Tidur,Oyasuminasai,おやすみなさい,Kata Benda
Selamat Makan,Itadakimasu,いただきます,Kata Benda
Terima Kasih (Formal),Arigatou-gozaimasu,ありがとうございます,Kata Benda
Terima Kasih (Informal),Arigatou,ありがとうございます,Kata Benda
Mohon Maaf,Gomennasai,ごめんなさい,Kata Benda
Mohon Maaf,Sumimasen,すみません,Kata Benda
Malaikat,Tenshi,天使,Kata Benda
Ekor,Shippo,しっぽ,Kata Benda
Bunga Matahari,Himawari,ひまわり,Kata Benda
Berikutnya,Tsugi,つぎ ,Kata Benda
Petak Umpet,Kakurenbo,かくれんぼ,Kata Benda
Cinta Pertama,Hatsukoi,初恋 (はつこい),Kata Benda
Pacar,Koibito,恋人 (こいびと) ,Kata Benda
A,A,あ,Kata Benda
