Indo,Jepang,Kanji,Keterangan
Pulau,Shima,島 (しま),Kata Benda
Kebun,Hatake,畑 (はたけ),Kata Benda
Gunung,Yama,山 (やま),Kata Benda
Bunga,Hana,花 (はな),Kata Benda
Pantai,Kaigan,海岸 (かいがん),Kata Benda
Kolam,Ike,池 (いけ),Kata Benda
Bukit,Oka,丘 (おか),Kata Benda
Hutan,Mori,森 (もり),Kata Benda
Matahari,Hi,日 (ひ),Kata Benda
Matahari,Taiyou,太陽 (たいよう),Kata Benda
Sungai,Kawa,川 (かわ),Kata Benda
Langit,Sora,空 (そら),Kata Benda
Warna,Shikisai,色彩 (しきさい),Kata Benda
Hitam,Kuroi,黒い (くろい),Kata Benda
Putih,Shiroi,白い (しろい),Kata Benda
Coklat,Chairo,茶色 (ちゃいろ),Kata Benda
Merah,Akai,赤い (あかい),Kata Benda
Merah Tua,Makka,真っ赤 (まっか),Kata Benda
Merah Maroon,Akamurasaki,赤紫 (あかむらさき),Kata Benda
Biru,Aoi,青い (あおい),Kata Benda
Biru Muda,Mizuiro,水色 (みずいろ),Kata Benda
Biru Tua,Massao,真っ青 (まっさお),Kata Benda
Orange,Orenjiiro,オレンジ色 ,Kata Benda
Pink,Pinkku,ピンク,Kata Benda
Kuning,Kiiro,黄色 (きいろ),Kata Benda
Hijau,Midori,緑 (みどり),Kata Benda
Ungu,Murasaki,紫 (むらさき),Kata Benda
Abu-abu,Haiiro,灰色 (はいいろ),Kata Benda
Emas,Kiniro,金色 (きんいろ),Kata Benda
Perak,Giniro,銀色 (ぎんいろ),Kata Benda
Peach ,Momoiro,桃色 (ももいろ),Kata Benda
Buah,Kudamono,果物 (くだもの),Kata Benda
Pisang,Banana,バナナ,Kata Benda
Strawberry,Ichigo,苺 (いちご),Kata Benda
Apel,Ringo,リンゴ ,Kata Benda
Anggur,Budou,ブドウ ,Kata Benda
Durian,Dorian,ドリアン ,Kata Benda
Kelapa,Kokonattsu,ココナッツ ,Kata Benda
Kiwi,Kiui,キウィ ,Kata Benda
Melon,Meron,メロン ,Kata Benda
Alpukat,Abokado,アボカド ,Kata Benda
Nanas,Painappuru,パイナップル ,Kata Benda
Pepaya,Papaiya,パパイヤ ,Kata Benda
Mangga,Mangoo,マンゴー,Kata Benda
Persik,Momo,桃 (もも),Kata Benda
Jeruk,Orenji,オレンジ ,Kata Benda
Lemon,Remon,レモン ,Kata Benda
Jeruk Mandarin,Mikan,蜜柑 (みかん),Kata Benda
Blueberry,Buruuberii,ブルーベリー,Kata Benda
Blackberry,Burakkuberii,ブラックベリ ,Kata Benda
Semangka,Saika,西瓜 (さいか),Kata Benda
Jambu Biji,Guaba,グアバ ,Kata Benda
Nangka,Jakkufuruttsu,ジャックフルッツ,Kata Benda
Delima,Zakuro,ザクロ ,Kata Benda
Cherry,Sakuranbou,さくらんぼう ,Kata Benda
Zaitun,Oriibu,オリーブ ,Kata Benda
Ara,Ichijiku,イチジク ,Kata Benda
Pir,Nashi,梨 (なし),Kata Benda
Rasberry,Kiichigo,きいちご ,Kata Benda
Kesemek,Kaki,柿 (かき),Kata Benda
Sayuran,Yasai,野菜 (やさお),Kata Benda
Tomat,Tomato,トマト ,Kata Benda
Kol,Kyabetsu,キャベツ,Kata Benda
Brokoli,Burokkorii,ブロッコリー ,Kata Benda
Paprika,Piiman,ピーマン ,Kata Benda
Asparagus,Asuparagusu,アスパラガス ,Kata Benda
Kacang,Mame,豆 (まめ),Kata Benda
Timun,Kyuuri,きゅうり,Kata Benda
Seledri,Serori,セロリ,Kata Benda
Terong,Nasu,茄子,Kata Benda
Kedelai,Daizu,大豆,Kata Benda
Kacang Merah,Azuki,小豆,Kata Benda
Selada,Retasu,レタス,Kata Benda
Wortel,Ninjin,人参,Kata Benda
Kentang,Jagaimo,じゃがいも,Kata Benda
Ubi Jalar,Satsumaimo,さつまいも,Kata Benda
Tauge,Mekyabetsu ,メキャベツ ,Kata Benda
Kembang Kol,Karifurawaa,カリフラワー,Kata Benda
Ketumbar,Pakuchii,パクチー,Kata Benda
Jahe,Shouga,しょうが ,Kata Benda
Bawang Merah,Tamanegi ,玉葱 (たまねぎ),Kata Benda
Bawang Putih,Ninniku ,大蒜 (にんにく),Kata Benda
Kebun Binatang,Doubutsuen,動物園 (どうぶつ),Kata Benda
Binatang,Doubutsu,動物 (どうぶつえん),Kata Benda
Serigala,Ookami,狼 (おおかみ),Kata Benda
Harimau,Tora,虎 (とら),Kata Benda
Anjing,Inu,犬 (いぬ),Kata Benda
Kucing,Neko,猫 (ねこ),Kata Benda
Kuda,Uma,馬 (うま),Kata Benda
Kelinci,Usagi,兎 (うさぎ),Kata Benda
Tikus,Nezumi,鼠 (ねずみ),Kata Benda
Ular,Hebi,蛇 (へび),Kata Benda
Katak,Kaeru,蛙 (かえる),Kata Benda
Lebah,Hachi,蜂 (はち),Kata Benda
Sapi,Ushi,牛 (うし),Kata Benda
Babi,Buta,豚 (ぶた),Kata Benda
Singa,Raion,ライオン,Kata Benda
Kambing,Yagi,山羊(やぎ),Kata Benda
Domba,Hitsuji,羊(ひつじ),Kata Benda
Ikan,Sakana,魚 (さかな),Kata Benda
Burung,Tori,鳥 (とり),Kata Benda
Jerapah,Kirin,麒麟 (きりん),Kata Benda
Gajah,Zou,象 (ぞう),Kata Benda
Unta,Rakuda,駱駝 (らくだ),Kata Benda
Rusa,Shika,鹿 (しか),Kata Benda
Beruang,Kuma,熊 (くま),Kata Benda
Monyet,Saru,猿 (さる),Kata Benda
Semut,Ari,蟻 (あり),Kata Benda
Belut,Unagi,鰻 (うなぎ),Kata Benda
Kupu-kupu,Chou,蝶 (ちょう),Kata Benda
Laba-laba,Kumo,蜘蛛 (くも),Kata Benda
Nyamuk,Ka,蚊 (か),Kata Benda
Cacing Tanah,Mimizu,蚯蚓 (みみず),Kata Benda
Tupai,Risu,栗鼠 (りす),Kata Benda
Elang,Washi,鷲 (わし),Kata Benda
Ayam,Niwatori,鶏 (にわとり),Kata Benda
Kepiting,Kani,蟹 (かに),Kata Benda
Kelelawar,Koumori,蝙蝠 (こうもり),Kata Benda
Anjing Laut,Azarashi,海豹 (あざらし),Kata Benda
Ikan Paus,Kujira,鯨 (くじら),Kata Benda
Ikan Lele,Namazu,鯰 (なまず),Kata Benda
Panda,Panda,パンダ,Kata Benda
Pinguin,Pengin,ペンギン,Kata Benda
Gorila,Gorira,ゴリラ,Kata Benda
Koala,Koara,コアラ,Kata Benda
Kanguru,Kangaruu,カンガルー,Kata Benda
Iguana,Iguana,イグアナ,Kata Benda
Bunglon,Kamereon,カメレオン,Kata Benda
Flamingo,Furamingo,フラミンゴ,Kata Benda
Udang,Ebi,海老 (えび),Kata Benda
Cumi-cumi,Ika,烏賊 (いか),Kata Benda
Kerang,Hamaguri,蛤 (はまぐり),Kata Benda
Gurita,Tako,蛸 (たこ),Kata Benda
Negara,Kuni,国 (くに),Kata Benda
Asia,Ajia,アジア ,Kata Benda
Afrika,Afurika,アフリカ ,Kata Benda
Eropa,Yooroppa,ヨーロッパ ,Kata Benda
Amerika,Amerika,アメリカ ,Kata Benda
Australia,Oosutoraria,オーストラリア ,Kata Benda
Inggris,Igirisu,イギリス ,Kata Benda
Italia,Itaria,イタリア ,Kata Benda
India,Indo,インド ,Kata Benda
Indonesia,Indoneshia,インドネシア ,Kata Benda
Mesir,Ejiputo,エジプト ,Kata Benda
Kanada,Kanada,カナダ ,Kata Benda
Korea Selatan,Kankoku,かんこく ,Kata Benda
Spanyol,Supein,スペイン ,Kata Benda
Sri Lanka,Suriranka,スリランカ ,Kata Benda
Thailand,Tai,タイ ,Kata Benda
Cina,Chuugoku,ちゅうごく ,Kata Benda
Jerman,Doitsu,ドイツ ,Kata Benda
Jepang,Nihon/Nippon,にほん／にっぽん ,Kata Benda
Selandia Baru,Nyuujirando,ニュージーランド ,Kata Benda
Hungaria,Hangarii,ハンガリー ,Kata Benda
Filipina,Firipin,フィリピン ,Kata Benda
Brazil,Burajiru,ブラジル ,Kata Benda
Perancis,Furansu,フランス ,Kata Benda
Vietnam,Betonamu,ベトナム ,Kata Benda
Malaysia,Mareeshia,マレーシア ,Kata Benda
Meksiko,Mekishiko,メキシコ ,Kata Benda
Rusia,Roshia,ロシア ,Kata Benda
Luar Negeri,Gaikoku,がいこく ,Kata Benda
Orang Asing,Gaikokujin,がいこくじん ,Kata Benda
Orang Jepang,Nihonjin,にほんじん ,Kata Benda
Siswa Asing,Ryuugakusee,りゅうがくせい ,Kata Benda
Bahasa,Kotoba,ことば,Kata Benda
Bahasa Asing,Gaikokugo,がいこくご ,Kata Benda
Bahasa Jepang,Nihongo,にほんご ,Kata Benda
Bahasa Inggris,Eego,えいご ,Kata Benda
Bahasa Korea,Kankokugo,かんこくご ,Kata Benda
Bahasa Cina,Chuugokugo,ちゅうごくご ,Kata Benda
Bahasa Jerman,Doitsugo,ドイツご ,Kata Benda
Bahasa Spanyol,Supeingo,スペインご ,Kata Benda
Bahasa Perancis,Furansugo,フランスご ,Kata Benda
Bahasa Arab,Arabiago,アラビアご ,Kata Benda
Bahasa Indonesia,Indoneshiago,インドネシアご ,Kata Benda
Pintu,Tobira,扉 (とびら),Kata Benda
Jendela,Mado,窓 (まど),Kata Benda
Mebel,Kagu,家具 (かぐ),Kata Benda
Kursi,Isu,いす ,Kata Benda
Meja Kantor,Tsukue,つくえ ,Kata Benda
Meja,Teeburu,テーブル ,Kata Benda
Sofa,Sofaa,ソファー ,Kata Benda
Tempat Tidur,Beddo,ベッド ,Kata Benda
Kasur,Mattoresu,マットレス ,Kata Benda
Selimut Tebal Jepang,Futon,布団 (ふとん),Kata Benda
Selimut,Moofu,もうふ ,Kata Benda
Bantal,Makura,まくら ,Kata Benda
Seprei,Shiitsu,シーツ ,Kata Benda
Selop,Surippa,スリッパ ,Kata Benda
Tikar,Tatami,畳 (たたみ),Kata Benda
Sapu,Hooki,ほうき ,Kata Benda
Rak,Tana,たな ,Kata Benda
Rak Buku,Hondana,ほんだな ,Kata Benda
Cermin,Kagami,かがみ ,Kata Benda
Sisir,Kushi,くし ,Kata Benda
Laci,Hikidashi,ひきだし ,Kata Benda
Permadani,Juutan,じゅうたん ,Kata Benda
Gorden,Kaaten,カーテン ,Kata Benda
Lampu Listrik,Dentoo,でんとう ,Kata Benda
Bola Lampu,Denkyuu,でんきゅう ,Kata Benda
